appno,importance
1194/04,4
53865/11,4
43838/07,4
11157/04,3
42443/02,3
5351/04,4
10493/12,4
60805/00,4
19127/06,3
23929/08,4
54332/13,4
12042/09,4
12997/06,4
7026/10,4
16032/07,3
30664/05,4
35623/05,3
24515/09,4
46892/09,4
10597/13,4
20087/06,3
9204/04,3
418/04,4
12066/02,3
25612/12,3
68125/14,3
77541/01,4
36498/05,3
54552/09,4
10443/08,4
41391/06,4
20535/03,4
23755/07,1
53716/17,4
22126/93,3
59552/08,3
36137/13,3
74986/10,4
27889/03,4
23172/08,4
6128/04,4
30733/08,3
71614/01,4
17884/12,4
7121/15,4
12083/03,4
75039/01,4
49017/99,3
11697/05,4
10722/03,4
9046/07,3
152/04,3
22824/04,3
4451/02,3
31045/10,3
31721/02,4
10926/09,3
38206/05,4
9511/81,2
5207/10,4
55463/09,4
55520/00,4
252/04,4
28954/02,4
10395/19,3
14031/09,4
11577/06,3
39093/13,4
10211/12,3
35259/04,4
30019/05,4
50435/99,3
50124/13,3
44221/02,4
11882/10,1
30324/96,3
57986/00,3
5786/08,1
47690/07,4
35824/04,4
48149/09,4
74613/01,3
21979/04,4
36261/08,4
41382/17,4
28856/95,3
11577/12,4
22419/05,4
14861/89,2
49037/09,4
47920/12,3
28032/12,4
36533/97,3
73235/12,3
44776/09,4
39120/03,4
48545/99,4
26436/05,4
72964/10,4
62980/10,4
16744/14,4
47355/99,4
28488/95,2
41427/98,4
51279/09,3
55263/00,3
28028/95,3
47115/99,4
16347/02,3
33909/96,4
64195/10,4
34821/06,4
966/14,4
50882/99,3
1586/05,4
19583/05,4
26524/04,4
60750/00,4
12976/07,3
37501/06,4
45426/06,4
39797/05,4
13448/07,3
23960/02,3
47039/11,3
51744/99,3
47676/99,4
1858/03,4
23571/02,4
19619/03,4
8543/05,4
47729/08,3
29869/13,4
21326/07,4
23554/03,4
18322/05,4
70935/11,4
55383/00,4
22737/04,3
58400/16,3
7433/05,4
10692/09,3
32003/13,4
57325/00,3
703/05,4
19294/07,4
9566/10,4
29372/02,3
30731/03,4
21194/09,3
337/04,4
58971/00,3
7359/14,4
63514/00,4
75470/01,4
32559/96,3
58689/11,4
25801/94,3
11751/03,3
62235/09,3
16779/02,3
42078/98,4
25067/94,1
28680/06,3
19320/07,4
5063/05,4
52722/15,3
21789/02,4
8394/13,4
41205/98,3
39941/07,4
19451/04,4
54769/10,4
4867/16,4
47940/99,3
16941/07,4
23810/05,4
54382/09,4
24245/09,4
33198/04,4
31706/10,3
56581/00,3
51198/08,3
69700/01,4
54273/00,3
53013/15,4
20106/06,3
31833/06,4
3076/05,4
9042/04,4
17992/09,4
23087/07,3
45083/06,4
16003/03,4
16608/09,3
44319/04,4
3380/10,4
67199/01,4
58210/08,4
39084/97,3
9006/80,2
60125/11,3
59631/09,3
69124/01,4
49337/07,3
45744/08,3
10341/07,4
40694/13,4
14480/08,3
1484/07,3
37245/13,4
1122/12,3
10383/09,3
8978/80,2
39806/05,3
6954/02,3
79653/12,4
10544/17,4
31155/13,4
22600/02,4
17419/16,4
14089/03,4
33082/96,4
35823/03,4
57412/08,1
5113/15,3
37976/06,4
32990/09,4
6725/03,3
18895/08,4
38049/02,4
59937/08,4
50283/13,4
17842/08,4
26764/08,4
44581/08,4
22735/07,4
47628/11,4
44363/02,3
63235/00,1
32967/96,1
46372/99,3
35187/04,4
77710/01,3
44286/12,4
27153/07,3
32374/02,4
75813/01,4
22663/06,4
9693/02,4
32457/96,3
38419/02,4
21317/05,4
17584/04,4
76191/12,4
74530/01,4
24923/15,4
61444/00,4
25224/04,4
42305/18,3
48555/08,4
30457/06,3
37461/05,4
60846/10,3
20589/13,4
25851/09,3
88/02,4
59097/13,4
12391/06,3
3504/02,4
49097/08,4
34725/08,3
11264/04,4
20430/04,4
3534/06,4
45566/08,4
7839/15,4
54839/17,4
22877/04,4
39954/08,1
77845/01,4
26881/02,4
68851/16,3
69834/01,3
22597/02,4
57592/08,3
24688/05,4
33422/03,4
1363/02,4
33488/02,4
20520/08,4
33804/96,2
26342/04,4
51269/07,4
22935/11,3
17596/06,4
15825/06,3
24528/02,4
57292/12,4
6301/73,3
22094/04,4
40269/02,3
63831/00,3
42542/04,4
15563/06,4
15602/07,4
5417/06,4
32391/96,4
35778/11,4
2334/03,1
36408/97,2
63252/00,4
28898/95,3
19441/03,4
6291/05,4
42758/05,4
50376/09,3
7975/07,4
35688/11,4
44131/05,4
64863/13,4
39069/97,3
1638/03,1
45653/13,4
16330/02,3
53736/08,3
24058/13,3
62237/14,4
4153/10,4
44240/12,4
4649/08,4
37500/04,4
54703/08,4
25435/06,4
65158/09,4
43631/09,3
10511/10,4
2346/02,2
10949/10,4
473/07,4
20988/02,4
44372/02,4
14049/08,4
32913/03,3
25834/09,4
24402/02,4
40058/98,4
30613/05,4
55722/00,4
10426/02,4
14326/11,3
8014/07,3
42454/02,3
15729/07,4
34124/06,3
50934/99,3
27833/02,4
26595/08,4
24705/16,4
16084/90,3
17993/09,4
25017/94,2
30742/03,4
60708/13,4
26586/08,4
25480/15,4
918/02,3
30674/03,4
37975/97,3
66882/09,4
10163/02,3
47829/99,4
8306/10,4
2226/10,3
48983/99,4
28975/04,3
2245/05,4
77796/01,4
16034/90,2
42615/06,3
65808/10,3
40074/98,3
60162/16,4
56717/00,4
24948/05,4
44197/11,4
8182/07,4
15449/09,3
3394/03,3
10301/03,3
40374/11,4
62257/15,3
55844/12,4
33488/04,4
34787/04,4
52502/07,3
20578/08,4
27798/95,2
6284/02,4
49514/99,4
41920/09,4
60426/11,3
64982/12,4
4310/10,4
33017/03,4
1383/02,4
13471/06,4
40583/15,3
11528/07,3
3994/03,4
33468/03,4
42488/02,3
19189/04,4
43418/09,3
58171/09,4
54765/09,4
11981/15,3
24029/07,3
5422/04,4
25367/05,4
3991/03,3
79040/12,3
43803/98,4
48974/09,3
60607/08,4
316/07,4
58630/11,4
44473/14,4
11800/85,2
36223/06,4
60669/00,3
54522/00,3
66583/11,4
48939/99,2
35014/97,1
2308/06,4
31356/04,4
74152/01,3
38585/04,4
3060/07,4
37923/12,4
50375/07,3
30943/04,3
10309/03,3
26000/02,3
40431/04,4
31577/17,4
4031/16,4
18465/05,4
42322/09,4
70213/01,4
31206/02,4
51392/99,4
24649/10,4
23218/94,2
29278/16,4
41604/98,3
1853/08,4
19010/07,1
38663/97,4
74884/13,4
55954/00,4
2834/06,3
22426/11,4
41615/07,1
9960/05,4
20518/04,4
14284/08,4
8660/09,4
14352/05,4
49379/09,4
42139/12,4
3001/06,4
34236/06,4
40153/09,4
28005/12,3
47328/99,4
49686/99,3
68453/13,3
48781/12,4
72839/01,4
11179/84,3
42596/98,3
25147/07,4
20491/92,3
32686/96,3
18669/08,4
52848/99,4
36358/14,4
12951/11,3
28852/06,4
30777/03,4
18597/13,3
58049/11,4
1555/04,3
21447/04,4
34999/97,4
62676/16,4
43104/04,4
73864/01,4
38311/02,1
11828/08,3
68066/12,3
47988/09,4
49398/99,4
10593/08,1
26668/95,4
32214/03,3
17731/03,4
27102/02,4
73692/12,4
29840/03,4
74400/01,4
23759/02,4
22930/05,4
68354/01,3
50213/99,3
38287/02,3
77546/14,4
72221/11,4
41990/18,3
51894/14,4
19710/02,3
43701/14,3
59550/11,4
7602/06,4
7510/04,3
75985/12,4
29052/03,3
7680/05,4
32577/96,4
76434/01,4
38426/03,4
54322/14,4
52390/99,3
52443/99,4
38458/15,3
6492/11,3
6169/13,4
52595/09,4
33803/04,4
58530/08,4
23912/12,4
37038/97,3
42265/06,4
23185/03,4
35292/05,3
24768/06,2
29343/10,3
21794/08,3
3006/03,4
75274/01,4
55146/14,4
32059/02,4
38055/06,4
46689/12,4
59177/10,4
20260/04,4
50473/11,4
31467/06,4
15838/13,4
23413/94,2
46827/99,1
14796/11,4
19171/03,4
64725/01,4
26461/06,4
43348/13,4
7224/11,3
10126/82,2
14626/03,3
40485/08,3
34656/03,4
41760/04,3
41803/04,4
47082/12,3
32772/02,1
37685/02,4
42184/09,4
14403/04,4
36370/08,4
66757/14,4
5744/05,4
31492/05,4
53341/99,3
22298/11,4
34091/03,4
32310/08,4
36103/04,4
14705/09,4
35746/11,3
36496/02,3
33239/96,3
15121/11,4
33645/07,4
31855/03,4
3462/04,4
10311/03,4
33868/05,4
7448/16,4
42981/06,4
73369/01,4
38711/03,3
37138/14,3
34155/96,3
78145/01,3
13339/11,4
62924/10,4
46092/06,3
42588/10,4
26760/95,3
16117/02,3
39970/02,4
